Config, Topology, No. of Banks, Buffer Size, Compute Mode, BW Mode, Mapping, LayerID, Bank Id, DRAM IFMAP Cycles, DRAM IFMAP Reads, DRAM Filter Cycles, DRAM Filter Reads, DRAM OFMAP Cycles, DRAM OFMAP Writes, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
scale.cfg,test.csv,8,8,os,False,3,0.0,1,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,2,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,3,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,4,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,5,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,6,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,7,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,0,121.0,1177.0,3809.0,82945.0,37.0,1201.0,9.647540983606556,21.77034120734908,31.605263157894736
scale.cfg,test.csv,8,8,os,False,4,0.0,1,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,2,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,3,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,4,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,5,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,6,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,7,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,True,1,0.0,0,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,1,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,2,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,3,964.0,94300.0,880.0,86100.0,11.0,1200.0,97.72020725388602,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,4,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,5,964.0,94300.0,880.0,86100.0,11.0,1200.0,97.72020725388602,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,6,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,7,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,3,0.0,0,40.0,4100.0,880.0,86100.0,12.0,1201.0,100.0,97.72985244040862,92.3846153846154
scale.cfg,test.csv,8,8,os,True,3,0.0,1,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,2,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,3,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,4,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,5,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,6,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,7,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,0,27.0,2800.0,880.0,86100.0,12.0,1201.0,100.0,97.72985244040862,92.3846153846154
scale.cfg,test.csv,8,8,os,True,4,0.0,1,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,2,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,3,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,4,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,5,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,6,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,7,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
test.cfg,test.csv,1,4,ws,False,1,0.0,0,7.0,48.0,7.0,54.0,27.0,56.0,6.0,6.75,2.0
test.cfg,test.csv,4,1,ws,False,1,0.0,0,1.0,12.0,1.0,14.0,6.0,14.0,6.0,7.0,2.0
test.cfg,test.csv,4,1,ws,False,1,0.0,1,1.0,12.0,1.0,14.0,6.0,14.0,6.0,7.0,2.0
test.cfg,test.csv,4,1,ws,False,1,0.0,2,1.0,12.0,1.0,13.0,6.0,14.0,6.0,6.5,2.0
test.cfg,test.csv,4,1,ws,False,1,0.0,3,1.0,12.0,1.0,13.0,6.0,14.0,6.0,6.5,2.0
scale.cfg,test.csv,1,64,ws,False,1,0.0,0,982.0,9408.0,79337.0,663552.0,73080.0,518431.0,9.570701932858595,8.363608863344172,7.093923181127789
scale.cfg,test.csv,4,16,ws,False,1,0.0,0,244.0,2352.0,76522.0,165888.0,72450.0,129631.0,9.6,2.167818825712531,1.7892230611033664
scale.cfg,test.csv,4,16,ws,False,1,0.0,1,244.0,2352.0,76522.0,165888.0,72450.0,129631.0,9.6,2.167818825712531,1.7892230611033664
scale.cfg,test.csv,4,16,ws,False,1,0.0,2,244.0,2352.0,76522.0,165888.0,72450.0,129631.0,9.6,2.167818825712531,1.7892230611033664
scale.cfg,test.csv,4,16,ws,False,1,0.0,3,244.0,2352.0,76522.0,165888.0,72450.0,129631.0,9.6,2.167818825712531,1.7892230611033664
scale.cfg,test.csv,1,64,is,False,1,0.0,0,982.0,9408.0,28742.0,663552.0,24984.0,518431.0,9.570701932858595,23.08569042897401,20.749689813888335
scale.cfg,test.csv,4,16,is,False,1,0.0,0,244.0,2352.0,26188.0,165888.0,24354.0,129631.0,9.6,6.334262476612318,5.322562102237733
scale.cfg,test.csv,4,16,is,False,1,0.0,1,244.0,2352.0,26187.0,165888.0,24354.0,129631.0,9.6,6.3345043531388425,5.322562102237733
scale.cfg,test.csv,4,16,is,False,1,0.0,2,244.0,2352.0,26187.0,165888.0,24354.0,129631.0,9.6,6.3345043531388425,5.322562102237733
scale.cfg,test.csv,4,16,is,False,1,0.0,3,244.0,2352.0,26186.0,165888.0,24354.0,129631.0,9.6,6.334746248138389,5.322562102237733
scale.cfg,test.csv,1,64,ws,False,2,0.0,0,982.0,9408.0,79337.0,663552.0,73080.0,518431.0,9.570701932858595,8.363608863344172,7.093923181127789
scale.cfg,test.csv,1,64,ws,False,3,0.0,0,982.0,9408.0,79337.0,663552.0,73080.0,518431.0,9.570701932858595,8.363608863344172,7.093923181127789
